TIME,VO2,VO2/kg,METS,VCO2,VE,RER,RR,Vt,FEO2,FECO2,HR,VE/,VE/,PetCO2
,STPD,STPD,,STPD,BTPS,,,BTPS,,,,VO2,VCO2,
min,L/min,ml/kg/m,,L/min,L/min,,BPM,L,%,%,bpm,BT/ST,BT/ST,mmHg
,,,,,,,,,,,,,,
15.50782967,2.410041094,32.34954453,9.24272728,2.299277306,68.11522675,0.954040706,24.67443466,2.760558844,15.99834061,4.790791512,147,28.26309776,29.62462425,31.65338707
16.04282951,2.251163006,30.21695328,8.633415222,2.139554739,65.64706421,0.950421929,29.90654373,2.195073605,16.15391541,4.626988411,146,29.16139984,30.68258286,30.7793293
16.53016472,2.517290354,33.78913116,9.654037476,2.38335228,72.76486969,0.946792781,28.72776794,2.532910585,16.1154213,4.649849415,147,28.90602875,30.5304718,31.02451134
17.01132965,2.498713255,33.53977585,9.582793236,2.393345356,71.58542633,0.957831144,24.93938255,2.870376825,16.06086159,4.745425701,151,28.64891624,29.9101944,31.50727081
17.52549553,2.629674196,35.29764175,10.08504009,2.527404308,76.15267944,0.961109281,25.28363037,3.011936188,16.10965919,4.710969925,153,28.95897865,30.1307869,31.21024323
18.00732803,2.56616044,34.44510651,9.841459274,2.519370556,76.04549408,0.981766582,24.90487862,3.05343771,16.1989193,4.702644348,154,29.63395882,30.18432236,31.16274071
18.50882912,2.690675974,36.11645508,10.31898689,2.591719389,77.88043213,0.963222384,25.92223358,3.004387379,16.10511017,4.723567009,154,28.9445591,30.04971695,31.29767799
19.00582886,2.647580147,35.53798676,10.15371037,2.593939066,79.55426788,0.979739606,26.15694046,3.041420937,16.26608467,4.628919125,155,30.04791641,30.66928864,30.58583069
19.50816154,2.661577225,35.72586823,10.20739079,2.570115089,78.89604187,0.965636134,25.8792305,3.048624039,16.21632576,4.624732494,158,29.64258957,30.69747353,30.58497429
20.01716042,2.860487223,38.39580154,10.97022915,2.776103497,83.80343628,0.970500231,25.54027557,3.281226873,16.15581703,4.702185631,158,29.29690933,30.18743134,31.18752289
20.51799583,2.907386541,39.02532196,11.15009212,2.872662544,87.41221619,0.9880566,25.95674133,3.367611408,16.26067352,4.665142059,159,30.0655632,30.42898941,31.02310371
21.03099442,2.924859524,39.25986099,11.217103,2.850258112,86.3445282,0.97449404,25.3411293,3.407288074,16.18805885,4.68584156,160,29.52091408,30.29358292,31.15754128
21.53299332,2.900117874,38.92775726,11.12221622,2.899286747,90.44680786,0.999713421,25.89641571,3.492638111,16.41760445,4.551370144,163,31.18728638,31.19622803,30.16895485
22.02549744,2.993558884,40.18199921,11.48057079,3.004993916,92.92138672,1.003819823,26.39593697,3.520291328,16.39236069,4.591323853,163,31.04044151,30.92232132,30.49151421
22.52433014,3.032919407,40.71032715,11.63152218,3.037171602,94.22757721,1.00140202,26.06080818,3.61568141,16.39872169,4.57629776,165,31.06827545,31.02477837,30.40273285
23.03182793,2.971479654,39.88563156,11.395895,2.967072725,93.1257782,0.998516917,25.61576462,3.635486841,16.44069862,4.524035454,167,31.33986664,31.38641548,30.09116364
23.53099442,3.247823715,43.59494781,12.45569897,3.249115705,101.360939,1.000397801,28.0467453,3.614000082,16.42008209,4.551333904,168,31.20887947,31.19647026,30.38905144
24.00582886,3.240139961,43.49180984,12.42623138,3.29108119,100.9018784,1.015721917,27.37802505,3.685506105,16.39578629,4.630363941,167,31.14121056,30.65918922,30.75581551
24.51066208,3.375035048,45.3024826,12.94356632,3.502895594,111.0847778,1.037884235,29.71278,3.738619566,16.62013245,4.477892399,167,32.91366577,31.71227264,29.79375458
25.02532959,3.295675278,44.23725128,12.63921452,3.426145792,109.5018692,1.039588451,29.14507675,3.757130861,16.65912056,4.443400383,168,33.22592926,31.96065712,29.62704468
25.51732826,3.380874395,45.38086319,12.9659605,3.513000011,115.5827332,1.039080262,30.48780632,3.791113377,16.77965164,4.317491055,169,34.18722916,32.90143204,28.75131607
26.00933075,3.416492462,45.8589592,13.10256004,3.496515036,111.3985596,1.02342248,28.45528603,3.914863348,16.59253883,4.457355022,172,32.60611725,31.85988235,29.80722427
26.52599525,3.498532772,46.96017075,13.41719151,3.681985855,122.463356,1.052437186,30.96774292,3.954545736,16.86527824,4.271338463,174,35.0042038,33.26013565,28.30137634
27.01316261,3.581363678,48.07199478,13.73485565,3.79191494,126.8519287,1.058790803,32.84296799,3.862377167,16.90771103,4.246901512,174,35.4200058,33.45326233,28.16709328
27.51416206,3.618093014,48.56500626,13.87571621,3.910690546,138.1183167,1.080870628,35.92814636,3.844292879,17.18088913,4.024736881,176,38.17433929,35.31814194,26.78271675
28.00416565,3.605244875,48.39254761,13.82644176,3.878199339,133.9531097,1.075710416,34.69387436,3.86100173,17.08212471,4.114511967,176,37.15506744,34.54002762,27.41787148
28.50432968,3.645794868,48.93684387,13.98195553,3.977361679,143.4989471,1.090945005,37.98733521,3.777547121,17.28629875,3.940698624,180,39.3601265,36.0789299,26.07777214
29.00016212,3.718159437,49.90818024,14.25948048,4.076729774,148.0584259,1.096437573,38.31932831,3.863805294,17.32434273,3.915020466,182,39.82035446,36.31793976,26.00835037
29.50366783,3.696777582,49.62117386,14.17747784,4.088238239,153.9693298,1.10589242,41.70804596,3.6915977,17.47602081,3.776765585,185,41.6496048,37.66153717,25.00949669
29.7745018,2.708231688,36.35210419,10.38631535,3.028991699,116.847702,1.118438959,40.61538696,2.876931906,17.58719826,3.688127518,171,43.14538574,38.57643509,24.47012711
